Date: 03/07/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: USA, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1973	Pubs: 164	IDs: 164	CSV Author Pubs: 0	Medline Author Pubs: 164
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 1	Medline Num: 1
		CSV IDs: 0	Medline IDs: 164

Publication PubMed Count:<164>
CSV Publications with Authors:<0>
Medline Publications with Authors:<164>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<330>
Medline Unique short authors:<330>
Medline Unique short first authors:<161>
CSV Duplicate authors:<0>
Medline Duplicate authors:<13>
Medline Duplicate short authors:<13>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<26>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<2.09146341463415>
Medline APP max:<7>
Medline APP min:<1>
Medline APP var:<1.15626859012493>
Unique Journal Titles:<20>
Unique Short Journal Titles:<20>
Medline Publications per unique author:	0.496969696969697
Medline Duplicate publications per duplicate author:	2
Medline Duplicate authors / Unique authors	0.0393939393939394


*****JOURNAL PUB FREQUENCIES*****
41	planta
20	tag theoretical and applied genetics theoretische und angewandte genetik
14	febs letters
13	biochimica et biophysica acta
12	journal of religion and health
11	life sciences and space research
9	journal of abnormal child psychology
9	american scientist
9	nature: new biology
6	molecular biology reports
4	avian pathology : journal of the wvpa
4	talanta
3	medicine
2	virology
2	neurobiology
1	nature
1	applied ergonomics
1	journal of clinical pathology
1	kisaengch'unghak chapchi the korean journal of parasitology
1	revue francaise de gynecologie et d'obstetrique

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
2	cummins, w r
2	tobias, c a
2	wong-staal, f
2	morgan, p w
2	goldsmith, m h
2	baglioni, c
2	chrispeels, m j
2	jaffe, m j
2	johnson, k d
2	ray, p m
2	sharma, j m
2	wildman, s g
2	cronshaw, j
1	fey, j
1	housman, d
1	gleisner, j m
1	rao, k v
1	fishman, p h
1	spiker, s
1	dickson, r e
1	hagy, g w
1	laukhuf, c
1	rubinstein, b
1	kok, p
1	strax, p
1	lazzarini, r a
1	todd, p
1	ingamells, c o
1	misaki, a
1	mahler, h r
1	schroy, c b
1	gilder, j
1	thoma, l
1	mottinger, j p
1	langenauer, h d
1	stein, e v
1	hanbauer, i
1	mazzur, s
1	nomura, m
1	mcintyre, a
1	kennedy, r a
1	budinger, t f
1	fauser, i s
1	kessler, e
1	wheeler, j c
1	webb, j a
1	berry, c a
1	alberte, r s
1	irr, j
1	liston, e h jr
1	smith, c j
1	champion, l r
1	kelleher, p c
1	mott, r l
1	miller, d m
1	fleming, b
1	humble, g d
1	ruddat, m
1	kohn, g
1	lowry, c b
1	peterson, p a
1	slattery, c w
1	gorelic, lester
1	braverman, b
1	weber, d f
1	cooper, cecil
1	walton, d c
1	mallmann, v h
1	okonkwo, p o
1	erickson, r c
1	falker, d
1	wylin, r f
1	whelan, w j
1	johnson, d c
1	motto, j a
1	eschrich, w
1	mendelson, n h
1	switzer, p
1	pemberton, r e
1	rasmussen, h p
1	mcvay, s
1	johnson, d e
1	quay, h c
1	sager, r
1	kolthoff, i m
1	reeve, j n
1	stone, d l
1	barry, d m
1	purchase, h g
1	ament, m e
1	davidonis, g h
1	maguire, m e
1	schiefer, s
1	smith, h h
1	templeton, a r
1	astrup, t
1	klietmann, w
1	allen, r e
1	montag, j
1	david, e e jr
1	chance, b
1	maloof, f
1	ulanov, a b
1	yomo, h
1	jacobson, a
1	vishniac, w v
1	mcgovern, s
1	mahlberg, p
1	brawerman, g
1	burg, s p
1	conners, c k
1	blanton, r l
1	tjepkema, j d
1	moore, w j
1	weinberg, a m
1	silberglied, r e
1	roberts, r
1	routh, d k
1	dowell, c e
1	goldstein, i j
1	rothschild, g h
1	branscomb, l m
1	huber, s c
1	heazlitt, r
1	reichert, c m
1	laetsch, w m
1	neville, h a
1	ehdaie, b
1	durham, j i
1	flory, d
1	strauss, e g
1	curtis, s b
1	morris, r r
1	morrison, m r
1	winegar, g o
1	lestourgeon, w m
1	wahler, r g
1	gabay, s j
1	sato, n
1	irwin, j e
1	seelich, t
1	zeevaart, j a
1	dilley, d r
1	campbell, s b
1	elmore, h w
1	kidwell, j f
1	merkel, c g
