Date: 03/07/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: USA, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none

Year: 1965	Pubs: 64	IDs: 64	CSV Author Pubs: 0	Medline Author Pubs: 64
		PM Max: 1	PM Num: 1	CSV Max: 0	CSV Num: 0	Medline Max: 1	Medline Num: 1
		CSV IDs: 0	Medline IDs: 64

Publication PubMed Count:<64>
CSV Publications with Authors:<0>
Medline Publications with Authors:<64>
Retracted Publications:<0>
Retractions Made:<0>
CSV Unique authors:<0>
Medline Unique authors:<126>
Medline Unique short authors:<126>
Medline Unique short first authors:<62>
CSV Duplicate authors:<0>
Medline Duplicate authors:<7>
Medline Duplicate short authors:<7>
CSV Duplicate author publications:<0>
Medline Duplicate author publications:<14>
CSV Authors per publication:<0>
CSV APP max:<0>
CSV APP min:<0>
CSV APP var:<0>
Medline Authors per publication:<2.078125>
Medline APP max:<4>
Medline APP min:<1>
Medline APP var:<0.634521484375>
Unique Journal Titles:<3>
Unique Short Journal Titles:<3>
Medline Publications per unique author:	0.507936507936508
Medline Duplicate publications per duplicate author:	2
Medline Duplicate authors / Unique authors	0.0555555555555556


*****JOURNAL PUB FREQUENCIES*****
48	archives of dermatology
9	life sciences and space research
7	thrombosis et diathesis haemorrhagica

*****KEYWORDS LIST*****

*****KEYWORDS FREQUENCIES*****
<>

*****CSV PUBMED AUTHOR FREQUENCIES*****

*****CSV PUBMED PUB FREQUENCIES*****
<>

*****MEDLINE PUBMED AUTHOR FREQUENCIES*****
2	epstein, j h
2	palomeque, f e
2	rebell, g
2	kopf, a w
2	bauman, l
2	winkelmann, r k
2	okun, m r
1	kazal, l a
1	goldman, l
1	hairston, m a jr
1	beirne, g
1	hagen, c a
1	carpenter, c l jr
1	zaias, n
1	stoughton, r b
1	weary, p e
1	dillaha, c j
1	baer, r l
1	behlen, c h 2nd
1	tedeschi, l g
1	speer, r j
1	willis, c j
1	winn, w a
1	gaston, l w
1	mccall, d c
1	young, r s
1	ponnamperuma, c
1	hochglaube, j
1	levan, n e
1	hawrylewicz, e j
1	leavell, u w jr
1	friedmann, j a
1	ehrlich, r
1	taylor, k s
1	blank, h
1	honeycutt, w m
1	hambrick, g w jr
1	friedman, r p
1	morrill, s d
1	comings, s n
1	jansen, g t
1	bleiberg, j
1	tromovitch, t a
1	shapiro, l
1	harber, l c
1	levin, g v
1	brodkin, r h
1	nix, t e jr
1	plotnick, h
1	goldberg, h c
1	seegers, w h
1	curth, h o
1	arrington, t s
1	reed, r j
1	maibach, h i
1	roenigk, h h jr
1	tuffanelli, d l
1	martt, j m
1	meinschein, w g
1	clark, b c
1	presant, c a
1	mullins, j f
1	mccormack, l j
1	warnick, m a
1	burnham, t k
1	epstein, e
1	perry, h o
1	stone, o j
1	becker, f t
1	lansinger, d t
1	anderson, p c
1	fulton, j
1	gak, c
1	minor, d
1	brown, a l jr
1	derbes, v j
1	bruch, c w
1	weiss, h j
1	puhvel, s m
1	pittendrigh, c s
1	crissey, j t
1	nakamoto, s
1	yin, e t
1	beirne, c
1	cram, d l
1	morales, a
1	adams, d a
1	hill, j m
1	resnik, s s
1	silberberg, i
1	rudner, e j
1	sternberg, t h
1	malkinson, f d
1	hart, d w
1	jolly, h w jr
1	kitzmiller, k w
1	lentz, c
1	porter, p s
1	lynch, f w
1	gottlieb, b
1	kline, d l
1	taplin, d
1	jillson, o f
1	jenkins, d w
1	shelley, w b
1	mayne, j g
1	mccaw, b k
1	haserick, j r
1	warburton, d
1	lanchantin, g f
1	abbrecht, m
1	lopresti, p j
1	redeker, a g
1	epstein, n n
1	brown, j
1	huntington, r w jr
1	ridgway, h
1	noojin, r o
1	heim, a h
1	gordon, b i
1	grannis, g f
1	hall, l b
1	comings, d e
1	cormia, f e
1	vishniac, w
1	karasek, m

*****MEDLINE PUBMED SHORT AUTHOR FREQUENCIES*****
2	epstein jh
2	winkelmann rk
2	rebell g
2	palomeque fe
2	okun mr
2	kopf aw
2	bauman l
1	jillson of
1	jolly hw jr
1	crissey jt
1	karasek m
1	comings sn
1	hawrylewicz ej
1	lopresti pj
1	mccall dc
1	mccormack lj
1	lentz c
1	blank h
1	levin gv
1	weary pe
1	ponnamperuma c
1	warburton d
1	beirne c
1	behlen ch 2nd
1	hagen ca
1	lansinger dt
1	shapiro l
1	ridgway h
1	jansen gt
1	heim ah
1	brown j
1	leavell uw jr
1	roenigk hh jr
1	porter ps
1	perry ho
1	speer rj
1	curth ho
1	yin et
1	mayne jg
1	taylor ks
